Aij
1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.6640000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
3.0940000e-11 9.6950000e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.6900000e-06 6.9950000e-03 2.0410000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.2680000e-01 6.0910000e-04 1.5610000e+00 0.0000000e+00 0.0000000e+00 
0.0000000e+00 2.2000000e+02 5.4800000e+02 4.7400000e-03 0.0000000e+00 0.0000000e+00 
*** O III transition probabilities
*** ATOM oxygen
*** SPECTRUM 3
*** N_LEVELS 6
*** SOURCE4 Galavis, Mendoza & Zeippen, 1997, A&A Supp., 123, 159
*** NOTE4 All A values from levels up to 5
*** SOURCE5 Wiese, Fuhr & Deters, 1996, JPCRD, Monograph 7, 403
*** NOTE5 A values from level 6
*** GSCONFIG p2
