       0       0   0.5     0.8     1.0     1.5     2.0     3.0
       1       2   5.812   4.965   4.553   3.848   3.4     2.848
       1       3   2.565   2.597   2.62    2.652   2.642   2.561
       1       4   1.08    1.1     1.103   1.082   1.045   0.9653
       1       5   0.1534  0.159   0.1626  0.1694  0.1721  0.1696
       2       3   8.74    8.487   8.403   8.255   8.085   7.684
       2       4   4.317   4.43    4.463   4.421   4.297   4.004
       2       5   0.6048  0.632   0.6414  0.6502  0.6452  0.6158  
       3       4   8.606   8.86    8.924   8.896   8.749   8.368
       3       5   1.053   1.177   1.222   1.271   1.273   1.228
       4       5   4.021   3.949   3.915   3.855   3.818   3.763
*** Te III      'Effective collision strengths data
*** ATOM tellurium
*** SPECTRUM 3
*** N_LEVELS 5
*** T_UNIT	'K/10000' 
*** SOURCE1	'Madonna et al, 2018, ApJ 861, 8' 
*** NOTE1 	'Effective Collision Strengths Omega' 
