       0       0   3.000   3.301   3.477   3.602   3.699   3.778   3.903   4.000   4.301   4.477   4.602
       1       2   3.597   3.266   3.105   2.998   2.915   2.846   2.736   2.653   2.421   2.285   2.166
       1       3   2.291   2.194   2.144   2.103   2.064   2.025   1.951   1.884   1.636   1.484   1.378
       1       4   1.253   1.193   1.173   1.162   1.153   1.143   1.125   1.107   1.041   0.997   0.954
       1       5   0.165   0.167   0.168   0.169   0.170   0.171   0.177   0.173   0.173   0.175   0.169
       2       3   9.057   8.682   8.457   8.278   8.113   7.960   7.683   7.446   6.642   6.146   5.770
       2       4   3.751   3.577   3.520   3.487   3.460   3.432   3.377   3.323   3.127   2.994   2.868
       2       5   0.486   0.490   0.494   0.497   0.500   0.503   0.507   0.511   0.519   0.512   0.495
       3       4   6.244   5.970   5.879   5.825   5.779   5.734   5.640   5.549   5.219   4.996   4.785
       3       5   0.782   0.789   0.795   0.801   0.806   0.811   0.819   0.826   0.844   0.833   0.805
       4       5   1.288   1.284   1.281   1.277   1.275   1.272   1.269   1.269   1.299   1.346   1.392
*** P II effective collision strengths data
*** ATOM phosphorus
*** SPECTRUM 2
*** N_LEVELS 5
*** T_UNIT	'log(K)' 
*** SOURCE1	'Tayla 2004, ApJ, 150, 465' 
*** NOTE1 	'Effective Collision Strengths Omega' 
