Aij
1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.3411000e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.9270000e-03 0.0000000e-00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
9.0530000e-01 6.2060000e-01 1.1740000e-01 0.0000000e+00 0.0000000e+00 
2.2210000e-00 8.1880000e-01 6.1300001e-01 0.0000000e-00 0.0000000e+00 
*** ATOM argon
*** SPECTRUM 4
*** SOURCE2 Rynkun, P., Gaigalas, G., & Jonsson, P. 2019, Astronomy and Astrophysics, 623, A155
*** NOTE2 All A values (line gauge)
*** GSCONFIG p3
